"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"11" 1100713.3402604 846077.143587323 724333.996906893 609031.089539242 490751.628408749 378821.678361478 281421.782097017 201803.475926353 139784.126096086 93525.9424785634 60646.2580839198 38776.1103801225 25794.0363380514 19897.2936198972 19596.7132108776 23682.0059621852 31178.6607235157 41306.1695112697 53441.3698525592 67087.3144620433
"12" 1115297.78497966 865173.320016392 748561.562891852 635515.389335425 516966.658552742 403131.684465629 303030.309179777 220463.949031355 155554.540679406 106612.18603362 71312.807793881 47298.4858967386 32435.3522725755 24897.8838657324 23170.7446521252 26017.6395452436 32439.8495968231 41635.1303596813 52961.1820308986 65904.435031801
"13" 1128510.41771018 882168.329719569 770289.686764258 659476.932338565 540923.760344921 425586.726021045 323222.426390726 238128.637288715 170708.706047810 119413.568273836 81978.457078597 56060.5822637716 39518.8767306154 30510.3108210506 27498.2513312165 29224.691859522 34670.4049199922 43014.5595991456 53598.3397030568 65893.8019990637
"14" 1140245.16754513 897383.845534627 789884.142552347 681237.482094876 562857.294942532 446326.103958687 342049.665778471 254773.260309627 185158.948343883 131790.339512681 92461.1361154626 64846.198968377 46801.056457475 36469.2412250382 32296.6868624833 33007.1437443206 37563.8468138358 45130.1127277812 55032.6828275483 66731.1154574604
"15" 1150476.27351998 911077.766313172 807643.974596827 701074.223292217 582983.46192242 465493.787928602 359586.487127755 270410.767252641 198865.944463197 143659.711957081 102642.376939848 73507.8153460505 54110.8640588142 42584.7338528044 37360.9835510393 37147.9185877243 40893.7639743185 47747.9491778508 57024.77178818 68172.7849752658
"16" 1159244.27595259 923460.352450385 823814.895941478 719224.234833893 601497.330050035 483230.387638284 375918.816432789 285077.454070407 211823.086735050 154978.938418323 112449.437967865 81948.025614106 61330.7416350264 48722.8497524656 42543.953708725 41489.1736504282 44493.7472265558 50694.9845041826 59396.260214373 70036.422579223
"17" 1166639.24600921 934706.66408389 838600.15549718 735889.74270927 618572.511878341 499668.645540896 391136.544763934 298823.308726894 224045.258336354 165732.933418077 121842.081065757 90105.7008639295 68382.32340563 54791.073117598 47741.5155721783 45917.4154170458 48242.6841410187 53843.9793242759 62015.0236803439 72186.0542657644
"18" 1172784.09579342 944965.203965338 852169.152540998 751243.26480327 634362.24123724 514931.172021829 405328.743194478 311705.368808508 235560.812723364 175925.229969244 130802.780778188 97945.6461711475 75215.6994628162 60727.2990416113 52881.4973082200 50352.1921848247 52053.3397790756 57102.1677125675 64783.8135729943 74520.8269560286
"19" 1177819.88500639 954364.06602158 864664.080082312 765432.264965988 649001.123266586 529129.600201563 418580.766091403 323783.24946291 246405.920457979 185571.446509439 139329.524149204 105450.914376735 81801.3718145749 66491.535814869 57915.1656837784 54737.5113794014 55863.7113893486 60402.5880216423 67631.5939670543 76966.3753233556
"20" 1181893.73805372 963015.040838127 876205.77971699 778583.189306225 662607.125170644 542364.599058113 430972.620873209 335116.224393438 256620.656293657 194694.617258840 147430.571059312 112617.138319266 88124.2704566227 72059.6916342051 62810.850055228 59035.354250629 59630.4753545588 63697.4954574634 70506.9455744385 79468.2376175572
