Time	Treatment	Replicate	Core	Depth	Blue	Red	Arcsine(Blue)	Arcsine(Red)	
t1	T2-	D	16	30	0.005513855	0.002718331	5.51385E-05	2.71833E-05	
t1	T2+	A	17	4	97.21478276	98.26340753	1.334227386	1.384160739	
t1	T2+	A	17	6	1.751210996	1.163615214	0.017513005	0.011636415	
t1	T2+	A	17	8	0.253755932	0.149916875	0.002537562	0.001499169	
t1	T2+	A	17	10	0.267132214	0.171162845	0.002671325	0.001711629	
t1	T2+	A	17	12	0.27844304	0.127741394	0.002784434	0.001277414	
t1	T2+	A	17	14	0.080552755	0.040367343	0.000805528	0.000403673	
t1	T2+	A	17	16	0.040718975	0.017660712	0.00040719	0.000176607	
t1	T2+	A	17	18	0.009245371	0.003983619	9.24537E-05	3.98362E-05	
t1	T2+	A	17	20	0.029801569	0.012747582	0.000298016	0.000127476	
t1	T2+	A	17	22	0.03648971	0.031072231	0.000364897	0.000310722	
t1	T2+	A	17	24	0.005212816	0.00146066	5.21282E-05	1.46066E-05	
t1	T2+	A	17	26	0.010032211	0.005709854	0.000100322	5.70985E-05	
t1	T2+	A	17	28	0.004130911	0.004780343	4.13091E-05	4.78034E-05	
t1	T2+	A	17	30	0.004032556	0.002788534	4.03256E-05	2.78853E-05	
t1	T2+	B	18	4	98.91929171	99.09100861	1.423646031	1.435861391	
t1	T2+	B	18	6	0.320694594	0.315391323	0.003206951	0.003153918	
t1	T2+	B	18	8	0.217292632	0.154770129	0.002172928	0.001547702	
t1	T2+	B	18	10	0.235021335	0.221585526	0.002350216	0.002215857	
t1	T2+	B	18	12	0.118995794	0.094183286	0.001189958	0.000941833	
t1	T2+	B	18	14	0.054949696	0.033973931	0.000549497	0.000339739	
t1	T2+	B	18	16	0.036385609	0.018685662	0.000363856	0.000186857	
t1	T2+	B	18	18	0.017357421	0.007738506	0.000173574	7.73851E-05	
t1	T2+	B	18	20	0.016522037	0.016798221	0.00016522	0.000167982	
t1	T2+	B	18	22	0.044739448	0.02604668	0.000447394	0.000260467	
t1	T2+	B	18	24	0.003991279	0.003208649	3.99128E-05	3.20865E-05	
t1	T2+	B	18	26	0.003527176	0.002831161	3.52718E-05	2.83116E-05	
t1	T2+	B	18	28	0.002784613	0.001132464	2.78461E-05	1.13246E-05	
t1	T2+	B	18	30	0.001485127	0.001321208	1.48513E-05	1.32121E-05	
t1	T2+	C	19	4	97.57911146	97.30373555	1.350309596	1.338053175	
t1	T2+	C	19	6	0.902303726	0.903002066	0.00902316	0.009030143	
t1	T2+	C	19	8	0.30760758	0.305524932	0.003076081	0.003055254	
t1	T2+	C	19	10	0.315690829	0.334055366	0.003156914	0.00334056	
t1	T2+	C	19	12	0.153937031	0.213285764	0.001539371	0.002132859	
t1	T2+	C	19	14	0.29641539	0.330454437	0.002964158	0.00330455	
t1	T2+	C	19	16	0.08989283	0.114121734	0.000898928	0.001141218	
t1	T2+	C	19	18	0.061201739	0.128248453	0.000612017	0.001282485	
t1	T2+	C	19	20	0.122403478	0.145976101	0.001224035	0.001459762	
t1	T2+	C	19	22	0.080921313	0.091408185	0.000809213	0.000914082	
t1	T2+	C	19	24	0.002753634	0.004431912	2.75363E-05	4.43191E-05	
t1	T2+	C	19	26	0.0465453	0.063708735	0.000465453	0.000637087	
t1	T2+	C	19	28	0.004352518	0.00553989	4.35252E-05	5.53989E-05	
t1	T2+	C	19	30	0.002931288	0.003877923	2.93129E-05	3.87792E-05	
t1	T2+	D	20	4	96.64991786	97.49285284	1.311221438	1.346399621	
t1	T2+	D	20	6	0.678470895	0.596223292	0.006784761	0.005962268	
t1	T2+	D	20	8	0.587201091	0.429769786	0.005872045	0.004297711	
t1	T2+	D	20	10	0.553383227	0.430239994	0.005533861	0.004302413	
t1	T2+	D	20	12	0.323191177	0.25344192	0.003231917	0.002534422	
t1	T2+	D	20	14	0.399089223	0.232752784	0.003990903	0.00232753	
t1	T2+	D	20	16	0.240567986	0.191374511	0.002405682	0.001913746	
t1	T2+	D	20	18	0.032088541	0.035265573	0.000320885	0.000352656	
t1	T2+	D	20	20	0.007493731	0.006112699	7.49373E-05	6.1127E-05	
t1	T2+	D	20	22	0.036315774	0.016927475	0.000363158	0.000169275	
t1	T2+	D	20	24	0.127585577	0.087928829	0.001275856	0.000879288	
t1	T2+	D	20	26	0.298596367	0.198427626	0.002985968	0.001984278	
t1	T2+	D	20	28	0.003842939	0.001410623	3.84294E-05	1.41062E-05	
t1	T2+	D	20	30	0.010183789	0.009404153	0.000101838	9.40415E-05	
t2	C	A	21	4	98.9465213	99.21489278	1.425514972	1.445406	
t2	C	A	21	6	0.784366829	0.578581835	0.007843749	0.005785851	
t2	C	A	21	8	0.07276305	0.049360524	0.000727631	0.000493605	
t2	C	A	21	10	0.0368529	0.028923116	0.000368529	0.000289231	
t2	C	A	21	12	0.029396615	0.027249878	0.000293966	0.000272499	
t2	C	A	21	14	0.023654419	0.01398349	0.000236544	0.000139835	
t2	C	A	21	16	0.021854626	0.011354116	0.000218546	0.000113541	
t2	C	A	21	18	0.011912914	0.007529571	0.000119129	7.52957E-05	
t2	C	A	21	20	0.013369889	0.009441844	0.000133699	9.44184E-05	
t2	C	A	21	22	0.020997582	0.017210449	0.000209976	0.000172104	
t2	C	A	21	24	0.008313328	0.005258748	8.31333E-05	5.25875E-05	
t2	C	A	21	26	0.000514227	0.001792755	5.14227E-06	1.79276E-05	
t2	C	A	21	28	0.00737058	0.00597585	7.37058E-05	5.97585E-05	
t2	C	A	21	30	0.002485428	0.00239034	2.48543E-05	2.39034E-05	
t2	C	B	22	4	98.59777245	98.88679618	1.403134946	1.421446044	
t2	C	B	22	6	1.101516745	0.871071033	0.01101539	0.00871082	
t2	C	B	22	8	0.111365724	0.071156015	0.001113657	0.00071156	
t2	C	B	22	10	0.092688035	0.071324632	0.00092688	0.000713246	
t2	C	B	22	12	0.016809921	0.012983444	0.000168099	0.000129834	
t2	C	B	22	14	0.011790292	0.010622817	0.000117903	0.000106228	
t2	C	B	22	16	0.009222109	0.012140363	9.22211E-05	0.000121404	
t2	C	B	22	18	0.006070249	0.006407414	6.07025E-05	6.40741E-05	
t2	C	B	22	20	0.007120869	0.011634514	7.12087E-05	0.000116345	
t2	C	B	22	22	0.001984505	0.003372323	1.9845E-05	3.37232E-05	
t2	C	B	22	24	0.004786158	0.004552636	4.78616E-05	4.55264E-05	
t2	C	B	22	26	0.001634298	0.003372323	1.6343E-05	3.37232E-05	
t2	C	B	22	28	0.010973143	0.016355767	0.000109731	0.000163558	
t2	C	B	22	30	0.004319216	0.004046788	4.31922E-05	4.04679E-05	
t2	C	C	23	4	99.87346646	99.84364196	1.520485247	1.514868015	
t2	C	C	23	6	0.053411657	0.063228451	0.000534117	0.000632285	
t2	C	C	23	8	0.018382597	0.022114384	0.000183826	0.000221144	
t2	C	C	23	10	0.008680671	0.010901457	8.68067E-05	0.000109015	
t2	C	C	23	12	0.007250913	0.005917934	7.25091E-05	5.91793E-05	
t2	C	C	23	14	0.002553138	0.002803232	2.55314E-05	2.80323E-05	
t2	C	C	23	16	0.002553138	0.002803232	2.55314E-05	2.80323E-05	
t2	C	C	23	18	0.001940385	0.002180291	1.94039E-05	2.18029E-05	
t2	C	C	23	20	0.000612753	0.003114702	6.12753E-06	3.1147E-05	
t2	C	C	23	22	0.000204251	0.000934411	2.04251E-06	9.34411E-06	
t2	C	C	23	24	0.001531883	0.002491762	1.53188E-05	2.49176E-05	
t2	C	C	23	26	0.005514779	0.005606464	5.51478E-05	5.60646E-05	
t2	C	C	23	28	0.001429758	0.003114702	1.42976E-05	3.1147E-05	
t2	C	C	23	30	0.006229658	0.004049113	6.22966E-05	4.04911E-05	
t2	C	D	24	4	99.8105381	99.90688987	1.509229817	1.527639731	
t2	C	D	24	6	0.039202194	0.01457067	0.000392022	0.000145707	
t2	C	D	24	8	0.019278255	0.01137223	0.000192783	0.000113722	
t2	C	D	24	10	0.034221209	0.014073135	0.000342212	0.000140731	
t2	C	D	24	12	0.021768748	0.010732542	0.000217687	0.000107325	
t2	C	D	24	14	0.010330931	0.007320873	0.000103309	7.32087E-05	
t2	C	D	24	16	0.005442187	0.003767051	5.44219E-05	3.76705E-05	
t2	C	D	24	18	0.006641313	0.003127363	6.64131E-05	3.12736E-05	
t2	C	D	24	20	0.001752569	0.004122433	1.75257E-05	4.12243E-05	
t2	C	D	24	22	0.003043935	0.002771981	3.04394E-05	2.77198E-05	
t2	C	D	24	24	0.008301641	0.002487675	8.30164E-05	2.48768E-05	
t2	C	D	24	26	0.008762843	0.003482745	8.76284E-05	3.48275E-05	
t2	C	D	24	28	0.004335301	0.002629828	4.3353E-05	2.62983E-05	
t2	C	D	24	30	0.010515412	0.004548892	0.000105154	4.54889E-05	
t2	T1-	A	25	4	99.48746438	99.67980194	1.469507232	1.490750205	
t2	T1-	A	25	6	0.210737546	0.124019547	0.002107377	0.001240196	
t2	T1-	A	25	8	0.107488514	0.05279924	0.001074885	0.000527992	
t2	T1-	A	25	10	0.058027899	0.044351361	0.000580279	0.000443514	
t2	T1-	A	25	12	0.039745137	0.027220941	0.000397451	0.000272209	
t2	T1-	A	25	14	0.021197406	0.015957104	0.000211974	0.000159571	
t2	T1-	A	25	16	0.016692957	0.011850496	0.00016693	0.000118505	
t2	T1-	A	25	18	0.011658573	0.009151868	0.000116586	9.15187E-05	
t2	T1-	A	25	20	0.005740964	0.005045261	5.74096E-05	5.04526E-05	
t2	T1-	A	25	22	0.004239481	0.004927929	4.23948E-05	4.92793E-05	
t2	T1-	A	25	24	0.005652642	0.004223939	5.65264E-05	4.22394E-05	
t2	T1-	A	25	26	0.004946061	0.003519949	4.94606E-05	3.51995E-05	
t2	T1-	A	25	28	0.001589805	0.001525311	1.58981E-05	1.52531E-05	
t2	T1-	A	25	30	0.003002966	0.001290648	3.00297E-05	1.29065E-05	
t2	T1-	B	26	4	99.28841292	98.7830244	1.451428608	1.414626418	
t2	T1-	B	26	6	0.356787774	0.499881212	0.003567885	0.004998833	
t2	T1-	B	26	8	0.093457944	0.198788843	0.00093458	0.00198789	
